id;sku;nazwa;kategoria;szerokość;wysokość;głębokość;średnica;jednostka;reguła;raw
276676756;1420995;"Fotel gamingowy Huzaro Combat 5.0 Black";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";61;;;;cm;product-dims-mm;"Szerokość produktu: 610 mm"
276676764;1420996;"Fotel gamingowy dla dziecka HZ-Ranger 6.0 Black";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";61;;50;;cm;product-dims-mm;"Szerokość produktu: 610 mm; Głębokość produktu: 500 mm"
276676772;1420999;"Fotel gamingowy Huzaro Force 4.7 RGB White";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";67;;50;;cm;product-dims-mm;"Szerokość produktu: 670 mm; Głębokość produktu: 500 mm"
276676788;1421003;"Fotel gamingowy Huzaro Force 4.7 Camo Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";67;;50;;cm;product-dims-mm;"Szerokość produktu: 670 mm; Głębokość produktu: 500 mm"
276676797;1421007;"FURY FOTEL GAMINGOWY AVENGER XL CZARNO-BIAŁY NFF-1712";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";;;;;;NO_MATCH;""
276676812;1421030;"Fotel gamingowy Huzaro Force 4.4 White Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";71;;71;;cm;product-dims-mm;"Szerokość produktu: 710 mm; Głębokość produktu: 710 mm"
276676820;1421037;"Fotel gamingowy Huzaro Force 6.2 White Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";70;;50;;cm;product-dims-mm;"Szerokość produktu: 700 mm; Głębokość produktu: 500 mm"
276676825;1421039;"Fotel gamingowy Huzaro Force 4.4 RGB Black";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";71;;71;;cm;product-dims-mm;"Szerokość produktu: 710 mm; Głębokość produktu: 710 mm"
276676829;1421054;"Fotel gamingowy Huzaro Force 4.7 White Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";67;;50;;cm;product-dims-mm;"Szerokość produktu: 670 mm; Głębokość produktu: 500 mm"
276676834;1421055;"Fotel gamingowy Huzaro Combat 5.0 Camo";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";61;;;;cm;product-dims-mm;"Szerokość produktu: 610 mm"
276676839;1421060;"Fotel AEROCOOL CROWN AeroWeave Ash Grey";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";52;;52;;cm;seat-dims;"Szerokość siedziska: 52 cm; Głębokość siedziska: 52 cm"
276676842;1421063;"Fotel gamingowy dla dziecka HZ-Ranger 6.0 Pixel Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";61;;50;;cm;product-dims-mm;"Szerokość produktu: 610 mm; Głębokość produktu: 500 mm"
